,Preço do aluguel (escala log)
26025,6.248042874508429
7175,5.342334251964811
3974,5.908082938168931
11420,5.181783550292085
13641,6.016157159698354
1328,7.4413203897176174
21820,5.480638923341991
6619,5.541263545158426
12348,4.454347296253507
20679,4.8283137373023015
1318,5.583496308781699
1775,5.303304908059076
22203,5.707110264748875
27557,6.228511003591184
20621,8.39615486303918
26091,6.194405391104672
5508,6.297109319933935
12457,8.53030683056162
25480,5.568344503761097
11134,5.19295685089021
3877,5.908082938168931
28826,9.741027444837728
5493,5.707110264748875
27105,6.293419278846481
2001,5.921578419643816
26325,5.068904202220232
8648,6.338594078203183
311,5.303304908059076
14778,5.225746673713202
57,7.468513271496337
1631,5.4510384535657
12727,5.733341276897746
19240,5.43372200355424
17767,5.666426688112432
18882,5.5909869805108565
1534,5.459585514144159
18348,6.523562306149512
5420,6.023447592961033
11773,5.455321115357702
16657,5.703782474656201
19452,5.863631175598097
24112,5.459585514144159
22426,5.645446897643238
24822,6.248042874508429
1280,6.752270376141742
21681,6.156978985585555
27078,5.003946305945459
27041,5.68697535633982
5165,6.2766434893416445
24356,5.198497031265826
25182,5.655991810819852
23334,6.637258031284457
8206,5.043425116919247
8136,6.519147287940395
5934,7.095064377287131
4510,7.160069207596127
11487,6.3473892096560105
4286,5.598421958998375
884,6.095824562432225
10957,5.942799375126701
14812,6.175867270105761
17893,5.575949103146316
8021,5.66988092298052
542,5.717027701406222
27865,6.061456918928017
4418,5.0369526024136295
25630,5.262690188904886
29300,4.859812404361672
4226,5.501258210544727
1862,6.111467339502679
4836,5.393627546352362
1272,5.556828061699537
9722,6.90875477931522
14046,5.579729825986222
28876,5.342334251964811
2838,5.583496308781699
735,5.780743515792329
26713,5.236441962829949
16421,6.152732694704104
13185,5.303304908059076
18875,5.327876168789581
7724,5.683579767338681
15953,4.912654885736052
21135,6.556778356158042
24794,6.746412128573375
27619,7.034387929915503
27667,5.220355825078324
15521,5.683579767338681
21159,5.389071729816501
18418,5.497168225293202
26831,4.691347882229144
5013,6.2422232654551655
27862,7.601402334583733
17552,5.598421958998375
2645,7.090909822079984
19981,5.176149732573829
26702,6.442540166468199
5708,6.55250788703459
12902,8.162516250140179
3248,7.90100705199242
23943,5.726847747587197
2736,5.736572297479192
4388,6.111467339502679
21646,4.875197323201151
15510,6.3080984415095305
23474,6.769641976852503
28852,6.703188113240863
29121,5.575949103146316
1188,6.298949246855942
327,5.634789603169249
23918,6.60934924316738
7811,5.697093486505405
2582,4.927253685157205
16851,5.993961427306569
2028,7.072421900537371
9573,5.855071922202427
19691,6.261491684321042
22562,6.698268054115413
14393,5.552959584921617
8886,5.905361848054571
826,7.378383712996714
4847,6.86171134048073
3930,5.53338948872752
26006,4.934473933130692
9575,5.407171771460119
4064,6.472346294500901
27923,5.247024072160486
356,5.278114659230517
13328,5.713732805509369
21665,9.61587214452889
20989,4.969813299576001
10039,5.993961427306569
15684,6.90875477931522
24816,5.402677381872279
29370,5.087596335232384
24666,5.4510384535657
13496,6.693323668269949
7613,6.07073772800249
11679,4.574710978503383
2115,5.459585514144159
19725,5.332718793265369
3879,5.676753802268282
24235,7.063903961472068
10154,5.176149732573829
15713,6.823286122355687
24920,6.881411303642535
10798,5.673323267171493
6048,5.666426688112432
6650,6.9985096422506015
19966,5.135798437050262
12804,6.419994928147142
1356,5.981414211254481
17795,5.552959584921617
29202,6.704414354964107
4973,5.752572638825633
2252,6.272877006546167
19199,5.541263545158426
18153,5.198497031265826
2789,6.46302945692067
3953,5.25227342804663
16225,6.226536669287466
2085,5.37989735354046
17142,6.803505257608338
12220,5.860786223465865
17041,6.175867270105761
23632,5.564520407322694
8137,6.317164686747284
16561,5.883322388488279
9040,6.2878585601617845
8687,6.289715570908998
9418,5.209486152841421
11242,7.486613313139955
12065,5.7430031878094825
7326,4.248495242049359
19768,7.213768308118642
19304,6.782192056006791
26715,5.541263545158426
19946,5.940171252720432
19491,5.703782474656201
7012,5.991464547107982
22107,6.037870919922137
11285,5.988961416889864
2704,5.117993812416755
20476,5.303304908059076
11359,5.0238805208462765
